column,group
aac_A,aa_composition
aac_C,aa_composition
aac_D,aa_composition
aac_E,aa_composition
aac_F,aa_composition
aac_G,aa_composition
aac_H,aa_composition
aac_I,aa_composition
aac_K,aa_composition
aac_L,aa_composition
aac_M,aa_composition
aac_N,aa_composition
aac_P,aa_composition
aac_Q,aa_composition
aac_R,aa_composition
aac_S,aa_composition
aac_T,aa_composition
aac_V,aa_composition
aac_W,aa_composition
aac_Y,aa_composition
dpc_AA,dipeptide
dpc_AC,dipeptide
dpc_AD,dipeptide
dpc_AE,dipeptide
dpc_AF,dipeptide
dpc_AG,dipeptide
dpc_AH,dipeptide
dpc_AI,dipeptide
dpc_AK,dipeptide
dpc_AL,dipeptide
dpc_AM,dipeptide
dpc_AN,dipeptide
dpc_AP,dipeptide
dpc_AQ,dipeptide
dpc_AR,dipeptide
dpc_AS,dipeptide
dpc_AT,dipeptide
dpc_AV,dipeptide
dpc_AW,dipeptide
dpc_AY,dipeptide
dpc_CA,dipeptide
dpc_CC,dipeptide
dpc_CD,dipeptide
dpc_CE,dipeptide
dpc_CF,dipeptide
dpc_CG,dipeptide
dpc_CH,dipeptide
dpc_CI,dipeptide
dpc_CK,dipeptide
dpc_CL,dipeptide
dpc_CM,dipeptide
dpc_CN,dipeptide
dpc_CP,dipeptide
dpc_CQ,dipeptide
dpc_CR,dipeptide
dpc_CS,dipeptide
dpc_CT,dipeptide
dpc_CV,dipeptide
dpc_CW,dipeptide
dpc_CY,dipeptide
dpc_DA,dipeptide
dpc_DC,dipeptide
dpc_DD,dipeptide
dpc_DE,dipeptide
dpc_DF,dipeptide
dpc_DG,dipeptide
dpc_DH,dipeptide
dpc_DI,dipeptide
dpc_DK,dipeptide
dpc_DL,dipeptide
dpc_DM,dipeptide
dpc_DN,dipeptide
dpc_DP,dipeptide
dpc_DQ,dipeptide
dpc_DR,dipeptide
dpc_DS,dipeptide
dpc_DT,dipeptide
dpc_DV,dipeptide
dpc_DW,dipeptide
dpc_DY,dipeptide
dpc_EA,dipeptide
dpc_EC,dipeptide
dpc_ED,dipeptide
dpc_EE,dipeptide
dpc_EF,dipeptide
dpc_EG,dipeptide
dpc_EH,dipeptide
dpc_EI,dipeptide
dpc_EK,dipeptide
dpc_EL,dipeptide
dpc_EM,dipeptide
dpc_EN,dipeptide
dpc_EP,dipeptide
dpc_EQ,dipeptide
dpc_ER,dipeptide
dpc_ES,dipeptide
dpc_ET,dipeptide
dpc_EV,dipeptide
dpc_EW,dipeptide
dpc_EY,dipeptide
dpc_FA,dipeptide
dpc_FC,dipeptide
dpc_FD,dipeptide
dpc_FE,dipeptide
dpc_FF,dipeptide
dpc_FG,dipeptide
dpc_FH,dipeptide
dpc_FI,dipeptide
dpc_FK,dipeptide
dpc_FL,dipeptide
dpc_FM,dipeptide
dpc_FN,dipeptide
dpc_FP,dipeptide
dpc_FQ,dipeptide
dpc_FR,dipeptide
dpc_FS,dipeptide
dpc_FT,dipeptide
dpc_FV,dipeptide
dpc_FW,dipeptide
dpc_FY,dipeptide
dpc_GA,dipeptide
dpc_GC,dipeptide
dpc_GD,dipeptide
dpc_GE,dipeptide
dpc_GF,dipeptide
dpc_GG,dipeptide
dpc_GH,dipeptide
dpc_GI,dipeptide
dpc_GK,dipeptide
dpc_GL,dipeptide
dpc_GM,dipeptide
dpc_GN,dipeptide
dpc_GP,dipeptide
dpc_GQ,dipeptide
dpc_GR,dipeptide
dpc_GS,dipeptide
dpc_GT,dipeptide
dpc_GV,dipeptide
dpc_GW,dipeptide
dpc_GY,dipeptide
dpc_HA,dipeptide
dpc_HC,dipeptide
dpc_HD,dipeptide
dpc_HE,dipeptide
dpc_HF,dipeptide
dpc_HG,dipeptide
dpc_HH,dipeptide
dpc_HI,dipeptide
dpc_HK,dipeptide
dpc_HL,dipeptide
dpc_HM,dipeptide
dpc_HN,dipeptide
dpc_HP,dipeptide
dpc_HQ,dipeptide
dpc_HR,dipeptide
dpc_HS,dipeptide
dpc_HT,dipeptide
dpc_HV,dipeptide
dpc_HW,dipeptide
dpc_HY,dipeptide
dpc_IA,dipeptide
dpc_IC,dipeptide
dpc_ID,dipeptide
dpc_IE,dipeptide
dpc_IF,dipeptide
dpc_IG,dipeptide
dpc_IH,dipeptide
dpc_II,dipeptide
dpc_IK,dipeptide
dpc_IL,dipeptide
dpc_IM,dipeptide
dpc_IN,dipeptide
dpc_IP,dipeptide
dpc_IQ,dipeptide
dpc_IR,dipeptide
dpc_IS,dipeptide
dpc_IT,dipeptide
dpc_IV,dipeptide
dpc_IW,dipeptide
dpc_IY,dipeptide
dpc_KA,dipeptide
dpc_KC,dipeptide
dpc_KD,dipeptide
dpc_KE,dipeptide
dpc_KF,dipeptide
dpc_KG,dipeptide
dpc_KH,dipeptide
dpc_KI,dipeptide
dpc_KK,dipeptide
dpc_KL,dipeptide
dpc_KM,dipeptide
dpc_KN,dipeptide
dpc_KP,dipeptide
dpc_KQ,dipeptide
dpc_KR,dipeptide
dpc_KS,dipeptide
dpc_KT,dipeptide
dpc_KV,dipeptide
dpc_KW,dipeptide
dpc_KY,dipeptide
dpc_LA,dipeptide
dpc_LC,dipeptide
dpc_LD,dipeptide
dpc_LE,dipeptide
dpc_LF,dipeptide
dpc_LG,dipeptide
dpc_LH,dipeptide
dpc_LI,dipeptide
dpc_LK,dipeptide
dpc_LL,dipeptide
dpc_LM,dipeptide
dpc_LN,dipeptide
dpc_LP,dipeptide
dpc_LQ,dipeptide
dpc_LR,dipeptide
dpc_LS,dipeptide
dpc_LT,dipeptide
dpc_LV,dipeptide
dpc_LW,dipeptide
dpc_LY,dipeptide
dpc_MA,dipeptide
dpc_MC,dipeptide
dpc_MD,dipeptide
dpc_ME,dipeptide
dpc_MF,dipeptide
dpc_MG,dipeptide
dpc_MH,dipeptide
dpc_MI,dipeptide
dpc_MK,dipeptide
dpc_ML,dipeptide
dpc_MM,dipeptide
dpc_MN,dipeptide
dpc_MP,dipeptide
dpc_MQ,dipeptide
dpc_MR,dipeptide
dpc_MS,dipeptide
dpc_MT,dipeptide
dpc_MV,dipeptide
dpc_MW,dipeptide
dpc_MY,dipeptide
dpc_NA,dipeptide
dpc_NC,dipeptide
dpc_ND,dipeptide
dpc_NE,dipeptide
dpc_NF,dipeptide
dpc_NG,dipeptide
dpc_NH,dipeptide
dpc_NI,dipeptide
dpc_NK,dipeptide
dpc_NL,dipeptide
dpc_NM,dipeptide
dpc_NN,dipeptide
dpc_NP,dipeptide
dpc_NQ,dipeptide
dpc_NR,dipeptide
dpc_NS,dipeptide
dpc_NT,dipeptide
dpc_NV,dipeptide
dpc_NW,dipeptide
dpc_NY,dipeptide
dpc_PA,dipeptide
dpc_PC,dipeptide
dpc_PD,dipeptide
dpc_PE,dipeptide
dpc_PF,dipeptide
dpc_PG,dipeptide
dpc_PH,dipeptide
dpc_PI,dipeptide
dpc_PK,dipeptide
dpc_PL,dipeptide
dpc_PM,dipeptide
dpc_PN,dipeptide
dpc_PP,dipeptide
dpc_PQ,dipeptide
dpc_PR,dipeptide
dpc_PS,dipeptide
dpc_PT,dipeptide
dpc_PV,dipeptide
dpc_PW,dipeptide
dpc_PY,dipeptide
dpc_QA,dipeptide
dpc_QC,dipeptide
dpc_QD,dipeptide
dpc_QE,dipeptide
dpc_QF,dipeptide
dpc_QG,dipeptide
dpc_QH,dipeptide
dpc_QI,dipeptide
dpc_QK,dipeptide
dpc_QL,dipeptide
dpc_QM,dipeptide
dpc_QN,dipeptide
dpc_QP,dipeptide
dpc_QQ,dipeptide
dpc_QR,dipeptide
dpc_QS,dipeptide
dpc_QT,dipeptide
dpc_QV,dipeptide
dpc_QW,dipeptide
dpc_QY,dipeptide
dpc_RA,dipeptide
dpc_RC,dipeptide
dpc_RD,dipeptide
dpc_RE,dipeptide
dpc_RF,dipeptide
dpc_RG,dipeptide
dpc_RH,dipeptide
dpc_RI,dipeptide
dpc_RK,dipeptide
dpc_RL,dipeptide
dpc_RM,dipeptide
dpc_RN,dipeptide
dpc_RP,dipeptide
dpc_RQ,dipeptide
dpc_RR,dipeptide
dpc_RS,dipeptide
dpc_RT,dipeptide
dpc_RV,dipeptide
dpc_RW,dipeptide
dpc_RY,dipeptide
dpc_SA,dipeptide
dpc_SC,dipeptide
dpc_SD,dipeptide
dpc_SE,dipeptide
dpc_SF,dipeptide
dpc_SG,dipeptide
dpc_SH,dipeptide
dpc_SI,dipeptide
dpc_SK,dipeptide
dpc_SL,dipeptide
dpc_SM,dipeptide
dpc_SN,dipeptide
dpc_SP,dipeptide
dpc_SQ,dipeptide
dpc_SR,dipeptide
dpc_SS,dipeptide
dpc_ST,dipeptide
dpc_SV,dipeptide
dpc_SW,dipeptide
dpc_SY,dipeptide
dpc_TA,dipeptide
dpc_TC,dipeptide
dpc_TD,dipeptide
dpc_TE,dipeptide
dpc_TF,dipeptide
dpc_TG,dipeptide
dpc_TH,dipeptide
dpc_TI,dipeptide
dpc_TK,dipeptide
dpc_TL,dipeptide
dpc_TM,dipeptide
dpc_TN,dipeptide
dpc_TP,dipeptide
dpc_TQ,dipeptide
dpc_TR,dipeptide
dpc_TS,dipeptide
dpc_TT,dipeptide
dpc_TV,dipeptide
dpc_TW,dipeptide
dpc_TY,dipeptide
dpc_VA,dipeptide
dpc_VC,dipeptide
dpc_VD,dipeptide
dpc_VE,dipeptide
dpc_VF,dipeptide
dpc_VG,dipeptide
dpc_VH,dipeptide
dpc_VI,dipeptide
dpc_VK,dipeptide
dpc_VL,dipeptide
dpc_VM,dipeptide
dpc_VN,dipeptide
dpc_VP,dipeptide
dpc_VQ,dipeptide
dpc_VR,dipeptide
dpc_VS,dipeptide
dpc_VT,dipeptide
dpc_VV,dipeptide
dpc_VW,dipeptide
dpc_VY,dipeptide
dpc_WA,dipeptide
dpc_WC,dipeptide
dpc_WD,dipeptide
dpc_WE,dipeptide
dpc_WF,dipeptide
dpc_WG,dipeptide
dpc_WH,dipeptide
dpc_WI,dipeptide
dpc_WK,dipeptide
dpc_WL,dipeptide
dpc_WM,dipeptide
dpc_WN,dipeptide
dpc_WP,dipeptide
dpc_WQ,dipeptide
dpc_WR,dipeptide
dpc_WS,dipeptide
dpc_WT,dipeptide
dpc_WV,dipeptide
dpc_WW,dipeptide
dpc_WY,dipeptide
dpc_YA,dipeptide
dpc_YC,dipeptide
dpc_YD,dipeptide
dpc_YE,dipeptide
dpc_YF,dipeptide
dpc_YG,dipeptide
dpc_YH,dipeptide
dpc_YI,dipeptide
dpc_YK,dipeptide
dpc_YL,dipeptide
dpc_YM,dipeptide
dpc_YN,dipeptide
dpc_YP,dipeptide
dpc_YQ,dipeptide
dpc_YR,dipeptide
dpc_YS,dipeptide
dpc_YT,dipeptide
dpc_YV,dipeptide
dpc_YW,dipeptide
dpc_YY,dipeptide
gravy,physicochemical
instability_index,physicochemical
aromaticity,physicochemical
charge_ph7,physicochemical
cf_helix,physicochemical
cf_sheet,physicochemical
cf_turn,physicochemical
seq_length,precomputed_seq
esmfold_plddt,precomputed_seq
proteinmpnn_score,precomputed_seq
proteinmpnn_seq_recovery,precomputed_seq
redesigned_proteinmpnn_score,precomputed_seq
molecular_weight,precomputed_seq
isoelectric_point,precomputed_seq
method_bindcraft,design_method
method_boltzgen,design_method
method_dsm-synteract,design_method
method_esm2-optimization,design_method
method_evodiff,design_method
method_mosaic,design_method
method_other,design_method
method_pro-1,design_method
method_prometheus-w-X7b7UUiy,design_method
method_prot42-Ugve91pb-o,design_method
method_protpardelle-proteinmpnn,design_method
method_protrl,design_method
method_pxdesign-server-Um0UoPAw6N,design_method
method_rfdiffusion,design_method
method_rfdiffusion-and-in-lab-custom-design-steps-PCRaKSzSCt,design_method
method_synthyra-protein-design-environment-cv4J-_NvaD,design_method
method_success_rate,design_method
boltz2_iptm,boltz2
boltz2_ipsae,boltz2
boltz2_min_ipsae,boltz2
boltz2_complex_iplddt,boltz2
boltz2_plddt,boltz2
boltz2_complex_plddt,boltz2
boltz2_ptm,boltz2
boltz2_complex_pde,boltz2
boltz2_lis,boltz2
boltz2_pdockq,boltz2
boltz2_pdockq2,boltz2
shape_complimentarity_boltz2_binder_ss,boltz2
