target,n,n_pos,auroc,auprc,f1,threshold
der21,2,0,,,,0.5
der7,3,1,0.0,0.3333333333333333,0.0,0.5
egfr,123,19,0.9807692307692308,0.9272243107769422,0.7906976744186046,0.14
fcrn,4,1,0.6666666666666667,0.5,0.0,0.5
fgf-r1,3,1,1.0,1.0,0.0,0.5
hnmt,4,0,,,,0.5
human-ambp,4,0,,,,0.5
human-gm2a,5,0,,,,0.5
human-idi2,4,0,,,,0.5
human-insulin-receptor,5,3,0.5,0.6388888888888888,0.8571428571428571,0.16000000000000003
human-mzb1-perp1,5,3,0.6666666666666666,0.8666666666666667,0.5,0.08000000000000002
human-orm2,5,0,,,,0.5
human-pdgfr-beta,4,2,0.0,0.41666666666666663,0.6666666666666666,0.05
human-phyh,2,1,1.0,1.0,0.0,0.5
human-pmvk,5,2,0.5,0.7,0.0,0.5
human-rfk,4,0,,,,0.5
human-serum-albumin,15,0,,,,0.5
human-tnfa,5,0,,,,0.5
ifnar2,3,1,0.0,0.3333333333333333,0.0,0.5
il7r,14,9,0.6888888888888889,0.8308080808080809,0.8571428571428571,0.21000000000000002
mdm2,4,1,1.0,1.0,0.0,0.5
nipah-glycoprotein-g,154,15,0.8757793764988009,0.7400892245204116,0.6896551724137931,0.27
pd-l1,12,6,0.6666666666666667,0.6453703703703705,0.6666666666666666,0.7500000000000002
spcas9,3,2,0.5,0.8333333333333333,0.0,0.5
