target,n,n_pos,auroc_with_tgt,auroc_no_tgt
der21,16,4,0.5625,0.625
der7,20,5,0.6133333333333334,0.6
egfr,826,128,0.6043438843123209,0.5555941081661891
fcrn,24,6,0.6203703703703705,0.6851851851851852
fgf-r1,20,7,0.4175824175824175,0.6318681318681318
hnmt,30,2,0.6071428571428572,0.625
human-ambp,30,5,0.288,0.384
human-idi2,30,5,0.488,0.328
human-insulin-receptor,35,21,0.8384353741496599,0.738095238095238
human-mzb1-perp1,30,15,0.8488888888888889,0.5688888888888889
human-pdgfr-beta,30,18,0.5462962962962963,0.5416666666666666
human-phyh,12,6,0.5833333333333333,0.75
human-pmvk,30,10,0.56,0.65
human-rfk,30,2,0.8928571428571429,1.0
ifnar2,20,8,0.42708333333333337,0.4895833333333333
il7r,97,62,0.5599078341013826,0.47557603686635946
mdm2,27,8,0.39473684210526316,0.34210526315789475
nipah-glycoprotein-g,1030,103,0.4578816727935401,0.5220148511222128
pd-l1,75,39,0.5669515669515669,0.47435897435897434
spcas9,20,14,0.5119047619047619,0.6071428571428572
